"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammoniacal Nitrogen as N_mg/l","Oxygen, Dissolved as O2_mg/l","pH_phunits","Orthophosphate, reactive as P_mg/l","Nitrogen, Total Oxidised as N_mg/l","Nitrate as N_mg/l","Oxygen, Dissolved, % Saturation_%","Temperature of Water_cel","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",85,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2022-09-12",51,FALSE,1,855,"VER","TL1274808590",870348,1,"",2022-09-12,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",897790,"2022-09-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,87,5.12,21,118.6,5.65,15,30,2,5,3,5,10,20,103,5.15,15.25,17.46,87.34,8.79,11.2,78.48,18,140,7.78,20,161,8.05,41,56,73.21,29,43,67.44,21,117.5,5.6,"No",2022,9,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",0.0313333333333333,8.68666666666667,7.76333333333333,0.0313333333333333,4.4,4.37,86.8333333333333,15.1666666666667,0.0276666666666667,0.000553333333333333,1.13333333333333,NA,8.025,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",90,265,0,24,73,0,86,0,89,83,42,711,16,159
"2",224,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",34001,1,"TL",53350,6850,"TL5335006850","GB106037033470",55,2,8.58,1,3,14,6,73,10,11,231,NA,NA,NA,"1995-01-01","1990-05-16","2022-09-07",39,FALSE,1,2251,"CRIPSEY BROOK","TL5335006850",870071,1,"",2022-09-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",892816,"2022-11-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,95,5.28,19,96.8,5.09,11,19,1.73,3,3,3,5.18,17,88,5.18,6.5,9.33,69.67,5,8.39,59.59,17,121,7.12,17,126,7.41,15,35,42.86,16,32,50,19,99.3,5.23,"No",2022,9,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB","TH-PRGR0012",0.03,9.075,8.095,2,12,12,90.6,15.25,0.0325,0.0008,NA,NA,6.9,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB",19,36,0,27,7,9,3,0,48,120,27,272,7,10
"3",261,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34044,1,"TL",14222,1418,"TL1422201418","GB106039029920",60,1.7,27.03,2,6.2,39,3,64,17,16,258,NA,NA,NA,"1995-01-01","1990-04-02","2022-09-17",68,FALSE,1,2807,"VER","TL1422201418",870818,1,"",2022-09-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",897971,"2022-09-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,96,5.65,22,140,6.36,12,24,2,5,3,5,10,23,126,5.48,15.87,18.57,85.46,8.03,10.94,73.4,17,137,8.06,20,167,8.35,37,51,72.55,28,38,73.68,22,136.5,6.2,"No",2022,9,"78C22281-DD60-4EE9-B5C5-3481DAF21D79","TH-PCNR0088",0.03,9.525,8.125,0.0345,4.5,4.49,96.9,16.05,0.00875,0.000855,NA,NA,NA,"78C22281-DD60-4EE9-B5C5-3481DAF21D79",36,1156,0,192,63,4,98,0,137,33,38,1720,13,161
"4",320,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WRAYSBURY RIVER",34207,1,"TQ",2700,73200,"TQ0270073200","GB106039023090",15,0.8,56.42,2,5,40,2,51,23,23,248,NA,NA,NA,"1995-01-01","1983-01-11","2022-10-17",49,FALSE,1,3745,"WRAYSBURY RIVER","TQ0270073200",872605,1,"",2022-10-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",897978,"2022-10-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,138,5.75,29,165.8,5.72,22,42,1.91,5,5,5,9.55,25,122,4.88,20.62,25.28,81.57,9.02,14.15,63.75,25,182,7.28,30,236,7.87,43,70,61.43,28,52,53.85,29,158.7,5.47,"No",2022,10,"8D7908FB-7A2D-4EEF-810F-85C4347008A8","TH-PCNR0103",0.03,8.50666666666667,8.13666666666667,0.393333333333333,12.6666666666667,12.6666666666667,91.3666666666667,18.7333333333333,0.0111333333333333,0.00104,NA,NA,15.2666666666667,"8D7908FB-7A2D-4EEF-810F-85C4347008A8",7,361,0,500,119,20,205,0,141,19,49,1372,20,324
"5",322,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2022-09-26",61,FALSE,1,3800,"RIB","TL3315413930",871203,1,"",2022-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",897975,"2022-09-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,136,6.18,28,169.5,6.05,21,36,1.71,5,5,5,8.57,24,123,5.13,18.39,22.56,81.52,9.04,12.94,69.86,22,167,7.59,31,244,7.87,44,69,63.77,30,47,63.83,28,167.6,5.99,"No",2022,9,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",0.03,7.365,7.9,0.43,5.35,5.34,78.35,18.2,0.0124,0.000805,3,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",197,373,0,140,95,1,264,9,44,43,48,1166,24,368
"6",360,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34307,1,"SU",98037,99623,"SU9803799623","GB106039029870",88,2.2,4.07,1,6.1,15.33,5,58,22,15,254,NA,NA,NA,"1995-01-01","1982-08-24","2022-11-22",36,FALSE,1,4476,"CHESS","SU9803799623",874336,1,"",2022-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",897781,"2022-11-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",30,180,6,38,222.8,5.86,25,47,1.88,5,7,7,13.16,34,167,4.91,17.38,24.12,72.06,9.78,15.85,61.7,31,224,7.23,35,268,7.66,43,83,51.81,33,68,48.53,38,224,5.89,"No",2022,11,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4","TH-PCNR0012",0.03,9.86,8.015,0.045,4.25,4.24,99.1,15.5,0.0115,0.00077,1,NA,NA,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4",31,2126,32,14,105,0,110,0,167,603,63,3195,25,215
"7",382,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2022-09-14",91,FALSE,1,4894,"MIMRAM","TL2788613403",870752,1,"",2022-09-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",890766,"2022-09-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,173,5.97,35,210.9,6.03,36,70,1.94,5,7,7,13.61,30,164,5.47,23.52,33.32,70.59,12.54,18.59,67.46,29,216,7.45,41,315,7.68,57,94,60.64,39,67,58.21,35,209.3,5.98,"No",2022,9,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",0.03,10.15,7.795,0.054,5.45,5.435,103.7,16.2,0.0155,0.00054,NA,NA,6.15,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",66,1137,0,13,175,12,518,18,146,136,58,2225,25,711
"8",390,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34352,1,"TL",56104,4058,"TL5610404058","GB106037033500",41,1.3,28.73,1,4,18.33,3,52,18,27,250,NA,NA,NA,"1995-01-01","1979-08-06","2022-09-07",56,FALSE,1,5069,"RODING","TL5610404058",870089,1,"",2022-09-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",891587,"2022-11-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,92,4.84,19,90.6,4.77,18,34,1.89,3,3,3,5.67,17,75,4.41,4.5,11.11,40.5,2,8.32,24.04,17,111,6.53,20,137,6.85,8,45,17.78,9,34,26.47,19,89.9,4.73,"No",2022,9,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7","TH-PRGR0028",0.0446666666666667,8.63333333333333,7.93,0.078,0.93,0.919,91.3333333333333,18.1666666666667,0.0126,0.00114,NA,NA,9.03333333333333,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7",39,222,0,8,3,27,47,0,58,171,32,591,8,50
"9",395,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34360,1,"TL",37700,13300,"TL3770013300","GB106038033290",33,1.7,27.39,1,5,26,7,76,11,5,273,NA,NA,NA,"1995-01-01","1979-09-10","2022-11-23",78,FALSE,1,5211,"ASH (LEE)","TL3770013300",874393,1,"",2022-11-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",897798,"2022-11-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,148,5.69,31,177.9,5.74,18,25,1.39,5,5,5,6.94,25,120,4.8,15.5,20.4,75.98,10.57,14.71,71.86,26,193,7.42,28,216,7.71,42,75,56,33,59,55.93,31,174.5,5.63,"No",2022,11,"F60FA473-DB5A-48B0-BC34-B44B92851ADC","TH-PLER0005",0.031,9.51666666666667,7.87333333333333,0.363333333333333,6.4,6.38,95.1666666666667,15.3,0.0203333333333333,0.000636666666666667,NA,NA,NA,"F60FA473-DB5A-48B0-BC34-B44B92851ADC",38,322,1,194,73,0,207,0,40,76,49,952,21,280
"10",588,"THAMES - WEST","THAMES","PANG AND SUL","RIVER: Natural/semi-natural flowing fresh watercourse","PANG",35443,1,"SU",59031,72038,"SU5903172038","GB106039023300",55,2,15.2,1,6.7,33.33,2,35,43,20,218,NA,NA,NA,"1995-01-01","1989-03-17","2023-03-20",54,FALSE,1,6821,"PANG","SU5903172038",872558,1,"",2022-09-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",891498,"2022-10-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,132,6.6,21,141,6.71,15,27,1.8,5,5,5,9,18,115,6.39,16,18.46,86.67,11.5,14.44,79.64,18,147,8.17,20,177,8.85,37,49,75.51,31,44,70.45,21,139.8,6.66,"No",2022,9,"508A57BD-737B-474E-89FD-F4938F563071","TH-PPSR0016",0.03,9.535,7.52,0.048,7.3,7.29,89.95,12.65,0.01215,0.000225,NA,NA,3.95,"508A57BD-737B-474E-89FD-F4938F563071",20,609,10,100,95,0,140,1,81,60,29,1117,12,236
"11",611,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","KENNET",35491,1,"SU",22731,69574,"SU2273169574","GB106039023173",118,1.5,31.5,3,11.7,30,10,72,12,7,253,NA,NA,NA,"1995-01-01","1990-05-15","2023-03-20",64,FALSE,1,7109,"KENNET","SU2273169574",871955,1,"",2022-10-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",891886,"2022-10-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,165,6.11,32,189.6,5.93,23,41,1.78,5,7,7,12.48,27,139,5.15,18.64,23.17,80.45,11.82,15.5,76.26,27,204,7.56,29,231,7.97,42,66,63.64,37,63,58.73,32,190.3,5.95,"No",2022,10,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3","TH-PKER0052",0.03,12.7,8.02,0.0363333333333333,7.8,7.75,127.533333333333,15.4333333333333,0.0526666666666667,0.000813333333333333,NA,NA,4.36666666666667,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3",102,2509,97,402,183,0,124,0,110,72,42,3602,16,307
